Date,Item Name,Item Code,Category,Brand,Item Price,Quantity,Sales
2019-10-14,Shampoo,SHA009,Haircare,ERHA,80800,25,2020000
2019-07-24,Conditioner,CON010,Haircare,Krayolan,65000,8,520000
2019-02-02,Foundation,FND005,Makeup,YOU,43300,15,649500
2019-10-07,Cologne,COL014,Fragrance,Inez,51600,35,1806000
2019-03-16,Body Mist,BMS015,Fragrance,Ivan Gunawan,70100,15,1051500
2019-08-10,Sunscreen,SUN002,Skincare,Revlon,28500,40,1140000
2019-05-25,Moisturizer,MOI001,Skincare,Ultima,40800,41,1672800
2019-09-26,Roll-On Perfume,ROP016,Fragrance,Salsa,2500,47,117500
2019-11-22,Roll-On Perfume,ROP016,Fragrance,Salsa,66900,12,802800
2019-04-05,Serum,SER004,Skincare,Loreal,96300,30,2889000
2019-11-08,Hair Mask,HMK011,Haircare,Wardah,69700,26,1812200
2019-02-14,Serum,SER004,Skincare,Loreal,87900,17,1494300
2019-01-05,Lipstick,LIP006,Makeup,BNB,28500,45,1282500
2019-04-13,Moisturizer,MOI001,Skincare,Ultima,76500,15,1147500
2019-10-14,Perfume,PER013,Fragrance,OMG,48100,24,1154400
2019-12-22,Moisturizer,MOI001,Skincare,Ultima,83100,34,2825400
2019-02-17,Conditioner,CON010,Haircare,Krayolan,29900,46,1375400
2019-05-11,Moisturizer,MOI001,Skincare,Ultima,61600,35,2156000
2019-08-03,Cleanser,CLE003,Skincare,Maybelline,28800,23,662400
2019-04-24,Lipstick,LIP006,Makeup,BNB,25200,28,705600
2019-09-23,Mascara,MAS008,Makeup,Some By Me,88700,50,4435000
2019-09-22,Cleanser,CLE003,Skincare,Maybelline,98400,43,4231200
2019-11-10,Cologne,COL014,Fragrance,Inez,9700,42,407400
2019-03-09,Moisturizer,MOI001,Skincare,Ultima,56700,30,1701000
2019-08-02,Roll-On Perfume,ROP016,Fragrance,Salsa,5300,17,90100
2019-06-07,Cleanser,CLE003,Skincare,Maybelline,76500,3,229500
2019-03-22,Foundation,FND005,Makeup,YOU,59400,48,2851200
2019-08-05,Lipstick,LIP006,Makeup,BNB,52800,48,2534400
2019-01-21,Hair Oil,HOI012,Haircare,Make Over,87400,21,1835400
2019-02-13,Roll-On Perfume,ROP016,Fragrance,Salsa,92400,23,2125200
2019-03-22,Sunscreen,SUN002,Skincare,Revlon,92900,27,2508300
2019-01-12,Moisturizer,MOI001,Skincare,Ultima,38100,22,838200
2019-04-02,Cologne,COL014,Fragrance,Inez,34700,10,347000
2019-11-20,Conditioner,CON010,Haircare,Krayolan,34200,12,410400
2019-09-03,Body Mist,BMS015,Fragrance,Ivan Gunawan,66800,13,868400
2019-01-12,Sunscreen,SUN002,Skincare,Revlon,35300,31,1094300
2019-03-22,Perfume,PER013,Fragrance,OMG,34700,14,485800
2019-10-21,Moisturizer,MOI001,Skincare,Ultima,61100,18,1099800
2019-05-17,Serum,SER004,Skincare,Loreal,52800,24,1267200
2019-05-09,Hair Oil,HOI012,Haircare,Make Over,92800,14,1299200
2019-04-05,Mascara,MAS008,Makeup,Some By Me,16500,6,99000
2019-08-02,Sunscreen,SUN002,Skincare,Revlon,36000,50,1800000
2019-06-22,Foundation,FND005,Makeup,YOU,4300,24,103200
2019-06-23,Mascara,MAS008,Makeup,Some By Me,44300,41,1816300
2019-01-05,Sunscreen,SUN002,Skincare,Revlon,95200,5,476000
2019-07-07,Body Mist,BMS015,Fragrance,Ivan Gunawan,96700,14,1353800
2019-10-27,Shampoo,SHA009,Haircare,ERHA,76500,19,1453500
2019-02-06,Sunscreen,SUN002,Skincare,Revlon,77000,29,2233000
2019-01-08,Conditioner,CON010,Haircare,Krayolan,31700,48,1521600
2019-09-11,Body Mist,BMS015,Fragrance,Ivan Gunawan,18100,25,452500
2019-01-17,Sunscreen,SUN002,Skincare,Revlon,35200,43,1513600
2019-06-16,Sunscreen,SUN002,Skincare,Revlon,28300,40,1132000
2019-12-11,Foundation,FND005,Makeup,YOU,23400,23,538200
2019-07-13,Cologne,COL014,Fragrance,Inez,90100,27,2432700
2019-03-09,Cologne,COL014,Fragrance,Inez,89800,12,1077600
2019-04-29,Lipstick,LIP006,Makeup,BNB,32200,23,740600
2019-08-10,Shampoo,SHA009,Haircare,ERHA,36000,13,468000
2019-01-22,Serum,SER004,Skincare,Loreal,69000,47,3243000
2019-04-20,Serum,SER004,Skincare,Loreal,10800,27,291600
2019-02-21,Roll-On Perfume,ROP016,Fragrance,Salsa,61500,43,2644500
2019-11-15,Lipstick,LIP006,Makeup,BNB,84700,50,4235000
2019-04-23,Perfume,PER013,Fragrance,OMG,80000,4,320000
2019-05-21,Moisturizer,MOI001,Skincare,Ultima,56600,37,2094200
2019-09-28,Conditioner,CON010,Haircare,Krayolan,89600,33,2956800
2019-07-21,Hair Mask,HMK011,Haircare,Wardah,75600,29,2192400
2019-12-11,Serum,SER004,Skincare,Loreal,81000,25,2025000
2019-09-09,Cologne,COL014,Fragrance,Inez,12500,4,50000
2019-04-29,Hair Mask,HMK011,Haircare,Wardah,70700,30,2121000
2019-12-05,Cologne,COL014,Fragrance,Inez,9400,5,47000
2019-02-19,Cologne,COL014,Fragrance,Inez,9600,21,201600
2019-08-10,Sunscreen,SUN002,Skincare,Revlon,53200,46,2447200
2019-06-29,Serum,SER004,Skincare,Loreal,82500,15,1237500
2019-03-02,Serum,SER004,Skincare,Loreal,50200,31,1556200
2019-03-17,Body Mist,BMS015,Fragrance,Ivan Gunawan,27300,10,273000
2019-07-13,Body Mist,BMS015,Fragrance,Ivan Gunawan,53400,35,1869000
2019-03-27,Cleanser,CLE003,Skincare,Maybelline,24200,10,242000
2019-05-16,Eyeshadow Palette,ESP007,Makeup,Pink Flash,87200,10,872000
2019-07-21,Body Mist,BMS015,Fragrance,Ivan Gunawan,73200,4,292800
2019-03-08,Foundation,FND005,Makeup,YOU,72400,42,3040800
2019-03-13,Shampoo,SHA009,Haircare,ERHA,20500,37,758500
2019-01-13,Cleanser,CLE003,Skincare,Maybelline,91700,15,1375500
2019-05-13,Cologne,COL014,Fragrance,Inez,84500,49,4140500
2019-04-28,Perfume,PER013,Fragrance,OMG,35500,44,1562000
2019-06-26,Cleanser,CLE003,Skincare,Maybelline,67300,39,2624700
2019-09-24,Mascara,MAS008,Makeup,Some By Me,23500,38,893000
2019-09-20,Roll-On Perfume,ROP016,Fragrance,Salsa,62600,21,1314600
2019-04-26,Moisturizer,MOI001,Skincare,Ultima,47100,17,800700
2019-11-27,Cologne,COL014,Fragrance,Inez,15500,2,31000
2019-01-17,Moisturizer,MOI001,Skincare,Ultima,64100,49,3140900
2019-09-01,Sunscreen,SUN002,Skincare,Revlon,40600,10,406000
2019-12-25,Cologne,COL014,Fragrance,Inez,59700,15,895500
2019-01-24,Mascara,MAS008,Makeup,Some By Me,20200,46,929200
2019-12-27,Serum,SER004,Skincare,Loreal,50000,43,2150000
2019-10-01,Moisturizer,MOI001,Skincare,Ultima,82600,4,330400
2019-05-13,Cologne,COL014,Fragrance,Inez,34400,32,1100800
2019-11-04,Cleanser,CLE003,Skincare,Maybelline,30200,9,271800
2019-04-16,Serum,SER004,Skincare,Loreal,64900,47,3050300
